Investing Report Created: 2023-09-23 08:16:00 -0400
,
﻿Filter Criteria:,All Dates
,All Investing Accounts
,Any Type
,Any Status
,All Investing Accounts
,
﻿,"Split","Date","Type","Security","Symbol","Security/Payee","Description/Category","Shares","Invest Amt","Amount","Account"
﻿,,"6/3/2020","Sell","Home Depot","HD","Home Depot","29.394883 shares @ 250.67151994","-29.394883","-7,368.46","7,368.46","HD ESPP"
﻿,,"6/4/2020","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","Transfer:[USAA CLASSIC CHECKING]",,,"467.24","HD ESPP"
﻿,,"6/4/2020","Payment/Deposit","",,"Home Depot Sl","Transfer:[USAA CLASSIC CHECKING]",,,"-7,368.46","HD ESPP"
﻿,,"6/18/2020","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","Transfer:[USAA CLASSIC CHECKING]",,,"467.24","HD ESPP"
﻿,,"6/19/2020","Reinvest Dividend","Home Depot","HD","Home Depot","0.167032 shares @ 263.96139662","0.167032","44.09","0.00","HD ESPP"
﻿,,"6/30/2020","Buy","Home Depot","HD","Home Depot","28.781756 shares @ 214.28713384","28.781756","6,167.56","-6,167.56","HD ESPP"
﻿,,"7/2/2020","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","Transfer:[USAA CLASSIC CHECKING]",,,"519.16","HD ESPP"
﻿,,"7/16/2020","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","Transfer:[USAA CLASSIC CHECKING]",,,"519.39","HD ESPP"
﻿,,"7/30/2020","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","Transfer:[USAA CLASSIC CHECKING]",,,"519.39","HD ESPP"
﻿,,"8/13/2020","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","Transfer:[USAA CLASSIC CHECKING]",,,"519.39","HD ESPP"
﻿,,"8/27/2020","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","Transfer:[USAA CLASSIC CHECKING]",,,"519.39","HD ESPP"
﻿,,"9/10/2020","Payment/Deposit","",,"Home Depot Produ Reg Salary ****","Transfer:[USAA CLASSIC CHECKING]",,,"519.39","HD ESPP"
﻿,,"9/22/2020","Reinvest Dividend","Home Depot","HD","Home Depot","0.149299 shares @ 290.82579254","0.149299","43.42","0.00","HD ESPP"
